15,20

11,6,6,6,6,6,6,6,6,0,0,0
10,6,6,6,6,6,6,6,6,6,6
10,6,6,6,6,6,6,6,6,6,2
10,6,6,6,6,6,6,6,6,6,4
10,6,6,6,6,6,6,6,6,6,2
10,6,6,6,6,6,6,6,6,6,5
17,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,1,1
19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,6,3
2,6,3
7,6,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
9,6,6,6,6,6,6,6,6,2
9,6,6,6,6,6,6,6,6,5
12,6,6,6,6,6,6,6,6,0,0,0,0
12,6,6,6,6,6,6,6,6,0,0,0,0
10,6,6,6,6,6,6,6,6,6,2
10,6,6,6,6,6,6,6,6,6,2
11,6,6,6,6,6,6,6,6,6,6,0
10,6,6,6,6,6,6,6,6,6,5
10,6,6,6,6,6,6,6,6,6,0
17,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1
20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,6,3
2,6,3
8,6,1,1,1,1,1,1,1
11,6,0,0,0,0,0,0,0,0,0,0
9,6,6,6,6,6,6,6,6,6
13,6,6,6,6,6,6,6,6,1,1,1,1,1
13,6,6,6,6,6,6,6,6,1,1,1,1,1
13,6,6,6,6,6,6,6,6,1,1,1,1,1
14,6,6,6,6,6,6,6,6,1,1,1,1,1,1
15,6,6,6,6,6,6,6,6,0,0,0,1,1,1,1
16,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1,1
18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1,1,1,1
20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,6,3
2,6,3
9,6,1,0,1,1,0,0,0,0
10,6,0,0,0,0,0,0,0,0,0
13,6,6,6,6,6,6,6,6,1,1,1,1,1
14,6,6,6,6,6,6,6,6,1,1,1,1,1,1
15,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0
18,6,6,6,6,6,6,6,6,1,1,0,0,0,0,0,0,0,0
18,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
18,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
17,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1
17,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1
18,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
18,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1
18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1

2,6,3
2,6,3
10,6,0,0,0,0,0,0,1,1,1
12,6,0,0,0,0,0,0,0,0,0,0,0
13,6,6,6,6,6,6,6,6,6,1,1,1,1
15,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0
14,6,6,6,6,6,6,6,6,6,6,6,6,6,6
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
18,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0
18,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1
18,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1
23,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
23,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,1,1,1,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,6,0
2,6,0
11,6,1,1,1,1,1,1,1,1,1,1
12,6,6,0,0,1,1,1,1,1,1,1,1
13,6,6,6,0,1,1,1,1,1,1,1,1,1
15,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
14,6,6,6,6,6,6,6,6,6,6,6,6,6,2
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
18,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0
19,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,1
18,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0
23,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,1,1,0,0,0
21,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0
21,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0

2,6,3
2,6,3
2,6,3
9,6,0,0,0,0,0,0,0,0
13,6,0,0,0,0,0,0,0,0,0,0,0,0
17,6,6,6,6,6,6,6,6,6,0,0,0,0,0,1,1,1
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2
15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
21,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0
19,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1
20,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1
21,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
21,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,6,3
5,6,0,0,0,0
2,6,3
9,6,0,0,0,1,1,0,0,0
13,6,0,0,0,0,0,0,0,1,1,1,1,1
19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
